Date,Open,High,Low,Close,Adj Close,Volume
2018-02-15,212.347000,211.173996,237.876999,225.426010,225.426010,208728998400
2018-02-16,225.500000,212.329010,236.088013,230.123978,230.123978,130008998400
2018-02-19,215.414993,215.377014,226.966995,223.057022,223.057022,76759699200
2018-02-20,223.087006,222.507004,253.897980,232.850998,232.850998,173967001600
2018-02-21,230.947998,208.925003,235.409988,213.351990,213.351990,119582003200
2018-02-22,212.841019,191.809998,222.768021,195.307999,195.307999,97437900800
2018-02-23,194.192993,184.070007,216.132004,209.309006,209.309006,106568000000
2018-02-26,222.138000,218.735992,234.417007,220.962021,220.962021,129708006400
2018-02-27,221.710022,215.840988,224.209000,216.599014,216.599014,85645401600
2018-02-28,217.279007,202.705994,223.509995,202.894989,202.894989,76132198400
2018-03-01,203.119003,201.542007,214.697998,209.750000,209.750000,67854201600
2018-03-02,209.554977,204.880005,213.128983,212.556000,212.556000,62714201600
2018-03-05,213.740005,209.248993,215.977997,211.175003,211.175003,59482899200
2018-03-06,210.513016,193.156998,210.513016,196.600998,196.600998,66107801600
2018-03-07,196.826004,175.647003,199.274994,185.839005,185.839005,75592499200
2018-03-08,185.697998,176.173996,188.146988,176.511002,176.511002,61250899200
2018-03-09,176.481003,160.425995,189.914993,187.167999,187.167999,94336396800
2018-03-12,189.016006,175.875000,193.339996,178.233994,178.233994,56762899200
2018-03-13,177.597000,172.257004,181.869995,175.781998,175.781998,46809401600
2018-03-14,175.936996,158.630005,177.546997,161.100998,161.100998,48065299200
2018-03-15,161.201996,151.479004,167.332001,164.475998,164.475998,56460902400
2018-03-16,164.817001,158.990997,171.257996,165.449997,165.449997,43662800000
2018-03-19,155.475006,151.662994,163.048996,161.141998,161.141998,50483299200
2018-03-20,161.520996,156.815002,173.300003,168.817001,168.817001,49289200000
2018-03-21,169.557007,166.615005,175.261002,169.052002,169.052002,46253600000
2018-03-22,168.723007,161.113007,172.306000,163.671997,163.671997,40499699200
2018-03-23,163.576996,157.263000,167.832001,167.832001,167.832001,34805600000
2018-03-26,160.164993,143.123001,160.994003,149.220993,149.220993,40713500800
2018-03-27,148.960999,135.779007,149.621002,135.779007,135.779007,38510400000
2018-03-28,135.490005,131.033997,140.125000,131.746994,131.746994,32837401600
2018-03-29,131.925003,113.933998,132.610001,114.679008,114.679008,47680400000
2018-03-30,114.804001,110.257004,124.902008,118.598000,118.598000,46843900800
2018-04-02,115.237000,114.718994,121.416000,119.306000,119.306000,27170300800
2018-04-03,119.509010,118.584000,136.447006,134.470001,134.470001,37540899200
2018-04-04,133.908005,116.583000,134.610001,118.412003,118.412003,38035100800
2018-04-05,118.208992,114.468002,121.287003,119.130997,119.130997,29402201600
2018-04-06,118.814995,112.787003,119.933990,113.154999,113.154999,23319000000
2018-04-09,117.782997,113.324989,122.426010,114.989990,114.989990,26017100800
2018-04-10,115.212997,112.517998,115.400002,114.262993,114.262993,20287900800
2018-04-11,114.289001,113.330002,119.093994,118.291000,118.291000,23006899200
2018-04-12,118.292000,113.551003,129.335007,129.335007,129.335007,58751097600
2018-04-13,129.274002,124.056007,133.039993,125.353996,125.353996,45804000000
2018-04-16,131.968002,125.238007,132.626007,128.335007,128.335007,29085500800
2018-04-17,128.710007,128.710007,139.653000,132.927994,132.927994,53233600000
2018-04-18,132.376999,132.376999,140.852997,139.996994,139.996994,38116198400
2018-04-19,140.041000,138.957993,146.867004,146.300003,146.300003,40873600000
2018-04-20,146.501007,143.843994,155.723999,155.537003,155.537003,49194598400
2018-04-23,146.671997,146.669998,152.768005,152.251999,152.251999,37606000000
2018-04-24,152.574997,152.574997,165.942993,165.781006,165.781006,64355801600
2018-04-25,165.087006,142.593002,165.087006,144.764008,144.764008,61346700800
2018-04-26,144.699005,142.643005,153.822998,153.679001,153.679001,41243699200
2018-04-27,153.444000,145.904999,153.619003,145.904999,145.904999,38674201600
2018-04-30,153.647003,147.871002,154.080994,148.477005,148.477005,34139699200
2018-05-01,148.343994,143.938995,148.544998,148.488007,148.488007,34215200000
2018-05-02,148.445007,146.983994,152.886993,151.576996,151.576996,35465699200
2018-05-03,151.858994,151.011993,163.996994,161.459000,161.459000,61798400000
2018-05-04,160.468994,157.936996,170.378006,168.787994,168.787994,63305497600
2018-05-07,171.759003,158.929993,171.917007,164.878998,164.878998,57328102400
2018-05-08,164.830002,158.158005,167.981003,159.617004,159.617004,46630899200
2018-05-09,159.617004,152.598007,159.617004,157.054993,157.054993,44813600000
2018-05-10,157.151001,149.337006,160.335999,149.869003,149.869003,42669401600
2018-05-11,149.445007,134.725998,149.445007,137.117004,137.117004,53041600000
2018-05-14,144.623993,136.072006,152.154999,147.714005,147.714005,58422201600
2018-05-15,147.488007,138.570007,149.382996,139.880005,139.880005,41598499200
2018-05-16,139.649994,135.276993,140.651001,139.268005,139.268005,35168998400
2018-05-17,139.559006,131.951996,141.166000,132.772995,132.772995,32024899200
2018-05-18,132.703995,129.703003,137.054993,136.057007,136.057007,37168800000
2018-05-21,139.643997,133.934006,139.643997,134.509003,134.509003,30837699200
2018-05-22,134.259995,128.332001,135.604996,128.675995,128.675995,29444700800
2018-05-23,128.807999,117.349998,129.332001,119.314003,119.314003,37332998400
2018-05-24,119.195000,115.889999,124.370995,122.613007,122.613007,34585798400
2018-05-25,122.558998,117.820992,124.202003,119.442009,119.442009,29774300800
2018-05-28,117.930000,111.475998,119.083008,111.598000,111.598000,29572300800
2018-05-29,111.844009,110.903008,121.962990,119.568001,119.568001,35052000000
2018-05-30,119.540009,116.016998,122.375999,117.532997,117.532997,30527500800
2018-05-31,117.318001,116.638000,120.593994,118.073997,118.073997,29718300800
2018-06-01,118.028008,117.115997,120.195992,119.915001,119.915001,29088601600
2018-06-04,125.211006,118.727997,126.326004,119.903000,119.903000,29978099200
2018-06-05,119.896004,116.442001,122.005997,121.700996,121.700996,30089200000
2018-06-06,121.887993,118.556007,122.138008,121.182999,121.182999,32415801600
2018-06-07,121.338989,119.621002,123.178009,121.426003,121.426003,36567001600
2018-06-08,121.515999,118.705002,121.945999,120.084007,120.084007,28583100800
2018-06-11,106.541000,104.124001,108.847000,107.515999,107.515999,33143001600
2018-06-12,107.428001,99.374603,108.057999,100.751999,100.751999,33316300800
2018-06-13,100.799004,91.288498,100.947998,94.075600,94.075600,36049299200
2018-06-14,93.993698,93.611603,102.417007,101.153999,101.153999,36774201600
2018-06-15,101.115005,95.599495,101.115005,96.676003,96.676003,29328499200
2018-06-18,95.773499,93.910004,99.813400,98.819000,98.819000,28293798400
2018-06-19,98.727303,97.398300,100.819992,98.837700,98.837700,28498201600
2018-06-20,98.956299,95.967102,99.204597,97.993500,97.993500,26139200000
2018-06-21,97.881203,96.364899,98.869499,96.925499,96.925499,26154400000
2018-06-22,96.941101,81.395897,97.123695,85.075897,85.075897,45863699200
2018-06-25,80.366600,79.020500,86.072899,81.833397,81.833397,45836601600
2018-06-26,81.815201,76.853699,82.497803,76.866699,76.866699,25843299200
2018-06-27,76.931999,75.862999,81.339302,80.659698,80.659698,27412800000
2018-06-28,80.625702,74.439201,81.039101,74.929802,74.929802,26341400000
2018-06-29,74.808899,73.172699,80.178497,78.768898,78.768898,30933900800
2018-07-02,80.267700,78.688202,86.270897,85.257103,85.257103,30247100800
2018-07-03,85.387802,84.734901,89.276802,85.101303,85.101303,34390099200
2018-07-04,85.172798,84.021400,89.116203,85.494003,85.494003,28222201600
2018-07-05,85.653198,82.541901,86.670502,83.760002,83.760002,30612198400
2018-07-06,83.837303,81.321404,84.596497,83.378098,83.378098,25316000000
2018-07-09,82.544098,80.748001,83.257797,80.857597,80.857597,26332600000
2018-07-10,80.782303,75.383499,80.882698,76.083504,76.083504,32161401600
2018-07-11,76.129898,76.074303,80.796898,78.699898,78.699898,28491500800
2018-07-12,78.594101,75.310600,78.594101,76.808601,76.808601,26739699200
2018-07-13,77.292099,76.107597,78.434601,76.942497,76.942497,25603800000
2018-07-16,78.959602,78.214798,84.595901,84.595901,84.595901,30790400000
2018-07-17,84.301498,82.999496,90.309700,89.806099,89.806099,34183600000
2018-07-18,89.821503,86.027802,93.649902,86.962097,86.962097,37542899200
2018-07-19,86.898201,85.788498,88.829399,86.667702,86.667702,30778598400
2018-07-20,86.681999,82.421097,86.681999,82.754601,82.754601,28744800000
2018-07-23,83.231499,82.314102,86.054604,82.433197,82.433197,29607100800
2018-07-24,82.682999,81.931999,89.285202,89.285202,89.285202,44057299200
2018-07-25,88.657204,85.411301,89.922401,86.281700,86.281700,31015699200
2018-07-26,86.277199,83.186501,88.022202,84.027496,84.027496,28657900800
2018-07-27,83.730003,82.043999,85.218300,84.463600,84.463600,35879801600
2018-07-30,84.153999,80.600395,84.712898,82.849899,82.849899,31399800000
2018-07-31,82.689301,76.810402,82.939499,79.702301,79.702301,31936200000
2018-08-01,80.390800,76.401505,80.733498,77.855598,77.855598,30153000000
2018-08-02,77.714203,75.614700,78.537994,76.138802,76.138802,28546600000
2018-08-03,76.301804,74.465599,77.566399,77.535500,77.535500,29829500000
2018-08-06,75.061600,72.790298,76.585899,73.888298,73.888298,26513400000
2018-08-07,74.003098,68.127800,75.227798,68.170303,68.170303,29941800000
2018-08-08,68.162804,62.138298,68.162804,62.490402,62.490402,31318700000
2018-08-09,62.473000,61.296200,65.577400,63.980804,63.980804,27009500000
2018-08-10,63.975002,58.863102,64.930099,59.394001,59.394001,25978100000
2018-08-13,59.483700,56.306000,60.597797,56.848198,56.848198,22306100000
2018-08-14,57.004799,51.158501,57.053600,54.559399,54.559399,25044000000
2018-08-15,54.679001,54.300503,58.947903,54.500401,54.500401,28269900000
2018-08-16,54.535999,54.510498,57.427002,55.361900,55.361900,21177900000
2018-08-17,55.329399,55.193001,61.514400,61.514400,61.514400,26338300000
2018-08-20,57.908398,53.978401,58.551197,53.996197,53.996197,24419200000
2018-08-21,53.771599,53.771599,56.797901,56.350201,56.350201,18748600000
2018-08-22,56.659100,54.378399,59.011402,55.318596,55.318596,22889300000
2018-08-23,55.193703,54.393501,57.809101,57.543404,57.543404,20512500000
2018-08-24,57.604198,55.953598,58.278202,57.929802,57.929802,19467600000
2018-08-27,57.259300,56.927898,60.424400,60.249901,60.249901,22807200000
2018-08-28,60.226002,59.623001,63.397202,63.024403,63.024403,24676400000
2018-08-29,63.029198,60.738495,63.389702,61.767197,61.767197,22063700000
2018-08-30,61.765598,58.919197,62.034595,60.315201,60.315201,21909400000
2018-08-31,60.422802,59.324902,62.254902,61.925499,61.925499,26525200000
2018-09-03,65.817604,64.321602,66.198502,65.373199,65.373199,23503400000
2018-09-04,65.319901,65.227600,68.977203,67.709900,67.709900,30820600000
2018-09-05,67.667900,58.437702,68.118805,58.437702,58.437702,40922600000
2018-09-06,58.320999,54.909599,58.320999,57.486198,57.486198,35127000000
2018-09-07,57.342197,55.511700,58.116600,56.197800,56.197800,22962600000
2018-09-10,54.993698,53.496201,56.065304,54.595798,54.595798,25124000000
2018-09-11,54.606800,51.075802,54.784798,52.367298,52.367298,27237900000
2018-09-12,52.389000,47.667500,52.411701,51.656601,51.656601,29035700000
2018-09-13,51.883301,51.760300,55.049202,54.536396,54.536396,29507400000
2018-09-14,54.647598,53.316002,58.439102,56.576500,56.576500,33619000000
2018-09-17,57.020100,51.849598,57.750099,52.540501,52.540501,26132500000
2018-09-18,52.293800,50.999500,55.100800,54.097202,54.097202,29655200000
2018-09-19,54.017502,52.255600,54.923000,54.334499,54.334499,27164200000
2018-09-20,54.372799,53.639801,57.153698,56.634403,56.634403,26063100000
2018-09-21,56.782703,56.462299,62.057098,60.722797,60.722797,39855000000
2018-09-24,61.339298,57.304802,61.339298,57.969101,57.969101,29636600000
2018-09-25,58.021000,54.737598,58.147598,57.537598,57.537598,35157900000
2018-09-26,57.449200,56.701698,59.620102,57.395500,57.395500,29413600000
2018-09-27,57.449997,56.923897,64.294998,62.979401,62.979401,57427700000
2018-09-28,63.171501,60.807903,64.422600,61.895100,61.895100,45986200000
2018-10-01,61.098602,59.740002,61.729698,60.208099,60.208099,45658300000
2018-10-02,60.301197,59.410702,61.252197,59.705402,59.705402,44483000000
2018-10-03,59.575497,57.076603,59.575497,57.477501,57.477501,45246400000
2018-10-04,57.521496,57.444901,59.049000,58.279499,58.279499,34360200000
2018-10-05,58.331497,57.673698,59.127201,58.766201,58.766201,37179000000
2018-10-08,58.231796,57.482002,59.824398,59.412601,59.412601,34740800000
2018-10-09,59.445400,58.211800,59.529099,58.713303,58.713303,31854500000
2018-10-10,58.664101,57.425701,58.664101,57.981796,57.981796,35800900000
2018-10-11,57.976398,50.991203,57.976398,51.232998,51.232998,34309800000
2018-10-12,50.874599,50.874599,53.821499,53.551701,53.551701,28089100000
2018-10-15,52.173801,51.914898,57.461998,54.879597,54.879597,43176500000
2018-10-16,54.965103,53.673698,55.481701,54.068203,54.068203,28191700000
2018-10-17,54.264900,53.085300,54.264900,53.672100,53.672100,29502200000
2018-10-18,53.716900,52.129097,53.986702,52.526897,52.526897,29641100000
2018-10-19,52.552299,52.237499,53.600002,53.020100,53.020100,27213000000
2018-10-22,52.784599,52.012798,53.114201,52.203899,52.203899,26333700000
2018-10-23,52.236996,51.940201,52.873501,52.541302,52.541302,27802500000
2018-10-24,52.456497,52.286499,53.007999,52.514999,52.514999,29104200000
2018-10-25,52.488102,52.060097,52.510098,52.234600,52.234600,24111700000
2018-10-26,52.219601,51.731701,52.483398,52.098900,52.098900,29290800000
2018-10-29,51.832699,48.654198,52.030201,49.071400,49.071400,37307600000
2018-10-30,48.996498,48.788502,49.477200,49.239101,49.239101,29544800000
2018-10-31,49.337803,48.321400,49.940498,49.441502,49.441502,41073400000
2018-11-01,49.562298,49.416203,51.027798,50.271900,50.271900,32149200000
2018-11-02,50.339500,50.315399,51.659801,51.330700,51.330700,36272600000
2018-11-05,53.593296,53.111500,54.708099,53.546303,53.546303,39813300000
2018-11-06,53.702499,53.482899,55.945103,55.945103,55.945103,37153400000
2018-11-07,56.043999,53.706898,56.157101,54.188904,54.188904,38541200000
2018-11-08,54.192398,52.372898,54.462898,52.373398,52.373398,35185700000
2018-11-09,52.364700,51.670200,52.724297,51.896000,51.896000,38671100000
2018-11-12,51.477100,50.469299,51.681297,50.648201,50.648201,38819400000
2018-11-13,50.634899,49.261002,50.967503,49.696598,49.696598,35643300000
2018-11-14,49.578899,41.943600,50.299198,43.610798,43.610798,60463900000
2018-11-15,43.727699,40.777500,44.242001,43.948303,43.948303,58871800000
2018-11-16,43.961098,42.086601,43.961098,42.458900,42.458900,41150700000
2018-11-19,42.339401,35.969501,42.339401,36.641098,36.641098,57124100000
2018-11-20,36.572498,31.406700,37.910801,33.044201,33.044201,61935600000
2018-11-21,33.065201,31.892601,34.670601,34.670601,34.670601,50400100000
2018-11-22,34.692799,32.195099,34.899502,32.195099,32.195099,46821800000
2018-11-23,32.022202,31.135302,33.025002,32.159698,32.159698,46293200000
2018-11-26,30.868700,28.383202,32.113201,29.410999,29.410999,52890200000
2018-11-27,29.409601,28.819298,31.349199,31.068800,31.068800,48662100000
2018-11-28,31.116901,30.971201,35.978298,34.626598,34.626598,57355000000
2018-11-29,34.719440,33.223019,35.538494,33.797447,33.797447,47670101300
2018-11-30,33.799179,31.432520,34.252590,32.064762,32.064762,43115364900
2018-12-03,33.810295,30.494160,33.810295,31.072803,31.072803,43187352300
2018-12-04,31.005575,30.393677,32.149879,31.186123,31.186123,39852160900
2018-12-05,31.215849,29.277233,31.386570,29.295238,29.295238,39213273900
2018-12-06,29.248985,26.918770,30.408764,26.943661,26.943661,45124130100
2018-12-07,26.907944,22.997705,26.907944,25.272585,25.272585,51962232100
2018-12-10,25.911686,24.502552,26.125835,24.617798,24.617798,42365334200
2018-12-11,24.600491,23.510136,24.952085,23.802383,23.802383,38653356900
2018-12-12,23.795937,23.710840,25.250563,24.493830,24.493830,36781894200
2018-12-13,24.530655,23.607573,24.659683,23.668863,23.668863,32894298200
2018-12-14,23.646481,22.824781,23.754461,23.464331,23.464331,31885181900
2018-12-17,25.682781,25.682781,30.403738,29.268888,29.268888,61338596800
2018-12-18,29.266508,28.253374,30.142155,30.142155,30.142155,49206438500
2018-12-19,30.327753,29.449499,31.769341,29.682787,29.682787,50543999100
